"Medicijn","Dosisaanpassing","Type","Antwoord"
"Benepali 25 mg oplossing voor injectie in een voorgevulde spuit","Er is geen doseringsaanpassing noodzakelijk.","Nierinsufficiëntie","Geen dosisaanpassing"
"Benepali 25 mg oplossing voor injectie in een voorgevulde spuit","Er is geen doseringsaanpassing noodzakelijk. Dosering en toediening zijn dezelfde als bij volwassenen van 18-64 jaar.","Ouderen","Geen dosisaanpassing"
"Annantah 0,060 mg / 0,015 mg, filmomhulde tabletten","Annantah is niet aangewezen voor na de menopauze.","Ouderen","Gecontra-indiceerd"
"Annantah 0,060 mg / 0,015 mg, filmomhulde tabletten","Annantah is gecontra-indiceerd bij vrouwen met ernstige leveraandoeningen. Zie ook rubriek 'Contraindicaties'.","Leverinsufficiëntie","Gecontra-indiceerd"
"Annantah 0,060 mg / 0,015 mg, filmomhulde tabletten","Annantah is niet specifiek onderzocht bij patiënten met een nierfunctiestoornis.","Nierinsufficiëntie","Gecontra-indiceerd"
"Belanette, filmomhulde tabletten, 0,02 mg/3 mg","Belanette is niet geïndiceerd na de menopauze.","Ouderen","Gecontra-indiceerd"
"Belanette, filmomhulde tabletten, 0,02 mg/3 mg","Belanette is gecontra-indiceerd bij vrouwen met ernstige hepatische aandoeningen. Zie ook rubriek 4.3 en 5.2.","Leverinsufficiëntie","Gecontra-indiceerd"
"Belanette, filmomhulde tabletten, 0,02 mg/3 mg","Belanette is gecontra-indiceerd bij vrouwen met ernstige nierinsufficiëntie of acuut nierfalen. Zie ook rubriek 4.3 en 5.2.","Nierinsufficiëntie","Gecontra-indiceerd"
"Ezetimibe Accord 10 mg tabletten","Voor oudere patiënten hoeft de dosering niet te worden aangepast (zie rubriek 5.2).","Ouderen","Geen dosisaanpassing"
"Ezetimibe Accord 10 mg tabletten","Bij patiënten met een lichte leverfunctiestoornis (Child-Pugh-score 5 tot 6) hoeft de dosering niet te worden aangepast","Leverinsufficiëntie","Geen dosisaanpassing"
"Ezetimibe Accord 10 mg tabletten","Behandeling met Ezetimibe Accord wordt niet aanbevolen bij patiënten met matige (Child-Pugh-score 7 tot 9) of ernstige (Child-Pugh-score > 9) leverinsufficiëntie (zie rubriek 4.4 en 5.2).","Leverinsufficiëntie","Gecontra-indiceerd"
"Ezetimibe Accord 10 mg tabletten","Bij patiënten met een nierfunctiestoornis hoeft de dosering niet te worden aangepast (zie rubriek 5.2).","Nierinsufficiëntie","Geen dosisaanpassing"
"Famotidine Auro 20 mg, tabletten","Famotidine wordt voornamelijk geëlimineerd via de nieren. Voor patiënten met een gestoorde nierfunctie bij wie de creatinineklaring minder dan 30ml/min is, dient de dagelijkse dosering famotidine verminderd te worden tot 50%.","Nierinsufficiëntie","Wel dosisaanpassing"
"Famotidine Auro 20 mg, tabletten","Wanneer in klinische onderzoeken bij ouderen famotidine werd toegediend, werd er geen toename van de incidentie of verandering van het type geneesmiddelgerelateerde bijwerkingen gezien. Dosisaanpassing op grond van leeftijd alleen is niet nodig.","Ouderen","Geen dosisaanpassing"
"Famotidine Auro 20 mg, tabletten","Daar famotidine voornamelijk via de nieren wordt uitgescheiden, is voorzichtigheid geboden bij patiënten met een gestoorde nierfunctie. Verlaging van de dagelijkse dosering dient te worden overwogen als de creatinineklaring onder 10 ml/min daalt (zie rubriek 4.2)","Nierinsufficiëntie","Wel dosisaanpassing"
"Cholib 145 mg/20 mg filmomhulde tabletten","Aanpassing van de dosis is niet nodig","Ouderen","Geen dosisaanpassing"
"Cholib 145 mg/20 mg filmomhulde tabletten","Cholib is gecontra-indiceerd bij patiënten met matige tot ernstige nierinsufficiëntie bij wie de geschatte glomerulaire filtratiesnelheid < 60 ml/min/1,73 m2 is (zie rubriek 4.3).","Nierinsufficiëntie","Gecontra-indiceerd"
"Cholib 145 mg/20 mg filmomhulde tabletten","Cholib dient met voorzichtigheid te worden gebruikt bij patiënten met milde nierinsufficiëntie bij wie de geschatte glomerulaire filtratiesnelheid 60 tot 89 ml/min/1,73 m2 bedraagt (zie rubriek 4.3).","Nierinsufficiëntie","Geen dosisaanpassing"
"Cholib 145 mg/20 mg filmomhulde tabletten","Cholib is niet onderzocht bij patiënten met verminderde leverfunctie en is daarom in deze populatie gecontra-indiceerd (zie rubriek 4.3).","Leverinsufficiëntie","Gecontra-indiceerd"
"Fenogal 160 mg harde capsules","Er is geen dosisaanpassing noodzakelijk. De normale dosis is aanbevolen","Ouderen","Geen dosisaanpassing"
"Fenogal 160 mg harde capsules","Fenofibraat mag niet gebruikt worden als een ernstige nierfunctiestoornis, gedefinieerd als eGFR < 30 ml/min/1.73 m2 , aanwezig is.","Nierinsufficiëntie","Gecontra-indiceerd"
"Fenogal 160 mg harde capsules","Wanneer de eGFR tussen de 30 en 59 mL/min per 1.73 m2 gelegen is, mag de dosis fenofibraat niet hoger zijn dan 100 mg standaard fenofibraat of 67 mg gemicroniseerd fenofibraat eenmaal daags. De aanbevolen dosering voor patiënten met matige nierinsufficiëntie (geschatte glomerulaire filtratiesnelheid < 30-59 ml/min/1,73 m2 ) is niet mogelijk met dit product. Wanneer, gedurende de opvolging, de eGFR aanhoudend daalt tot < 30 ml/min per 1,73 m2 , dient de behandeling met fenofibraat te worden gestaakt.","Nierinsufficiëntie","Wel dosisaanpassing"
"Fenogal 160 mg harde capsules","Fenofibraat wordt niet aanbevolen voor patiënten met een leveraandoening, omdat het gebruik van fenofibraat bij deze patiënten niet is onderzocht.","Leverinsufficiëntie","Gecontra-indiceerd"
"1 injectieflacon met 25 ml oplossing voor infusie bevat 50 mg fluconazol.","De dosis dient te worden aangepast op basis van de nierfunctie (zie ‘Nierinsufficiëntie’)","Ouderen","Wel dosisaanpassing"
"1 injectieflacon met 25 ml oplossing voor infusie bevat 50 mg fluconazol.","Diflucan wordt hoofdzakelijk als ongewijzigde werkzame stof in de urine uitgescheiden. Bij behandeling met een enkelvoudige dosis is dosisaanpassing niet nodig.","Nierinsufficiëntie","Geen dosisaanpassing"
"1 injectieflacon met 25 ml oplossing voor infusie bevat 50 mg fluconazol.","Omdat er slechts beperkte gegevens beschikbaar zijn over patiënten met leverinsufficiëntie, dient fluconazol met voorzichtigheid aan patiënten met leverdisfunctie te worden toegediend (zie rubrieken 4.4 en 4.8).","Leverinsufficiëntie","Geen dosisaanpassing"
"AirFluSal Aërosol 25/125 microgram, aërosol, suspensie","Het is niet nodig de dosering bij ouderen of bij patiënten met nierinsufficiëntie aan te passen.","Ouderen","Geen dosisaanpassing"
"AirFluSal Aërosol 25/125 microgram, aërosol, suspensie","Het is niet nodig de dosering bij ouderen of bij patiënten met nierinsufficiëntie aan te passen.","Nierinsufficiëntie","Geen dosisaanpassing"
"AirFluSal Aërosol 25/125 microgram, aërosol, suspensie","Er zijn geen gegevens beschikbaar met betrekking tot gebruik van AirFluSal Aërosol bij patiënten met leverinsufficiëntie.","Leverinsufficiëntie","Niet onderzocht"
"Cutivate crème 0,5 mg/g","In klinische onderzoeken zijn geen verschillen in respons waargenomen tussen oudere patiënten en jongere patiënten. Het kan niet worden uitgesloten dat er meer systemische accumulatie optreedt bij ouderen door afname van nier- en leverfunctie met het toenemen van de leeftijd. Daarom moet een dunne laag worden gebruikt gedurende een zo kort mogelijke periode om het gewenste klinische effect te bereiken. Vanwege het toegenomen risico op atrofie en op remming van de adrenale cortex door systemische absorptie, met name bij langdurige behandeling en behandeling van grotere oppervlakken van de huid, wordt aanbevolen de behandeling geleidelijker af te bouwen dan bij jongere volwassenen om symptomen van hypercorticisme te voorkomen.","Ouderen","Wel dosisaanpassing"
"Cutivate crème 0,5 mg/g","Het valt niet uit te sluiten dat systemische blootstelling aan fluticasonpropionaat toeneemt bij patiënten met lever- en/of nierfunctiestoornis. Daarom moet een dunne laag worden gebruikt gedurende een zo kort mogelijke periode om het gewenste klinische effect te bereiken. Vanwege het toegenomen risico op atrofie en op remming van de adrenale cortex door systemische absorptie, met name bij langdurige behandeling en behandeling van grotere oppervlakken van de huid, wordt aanbevolen de behandeling geleidelijker af te bouwen dan bij patiënten zonder verminderde lever- /nierfunctie om symptomen van hypercorticisme te voorkomen.","Leverinsufficiëntie","Wel dosisaanpassing"
"Cutivate crème 0,5 mg/g","Het valt niet uit te sluiten dat systemische blootstelling aan fluticasonpropionaat toeneemt bij patiënten met lever- en/of nierfunctiestoornis. Daarom moet een dunne laag worden gebruikt gedurende een zo kort mogelijke periode om het gewenste klinische effect te bereiken. Vanwege het toegenomen risico op atrofie en op remming van de adrenale cortex door systemische absorptie, met name bij langdurige behandeling en behandeling van grotere oppervlakken van de huid, wordt aanbevolen de behandeling geleidelijker af te bouwen dan bij patiënten zonder verminderde lever- /nierfunctie om symptomen van hypercorticisme te voorkomen.","Nierinsufficiëntie","Wel dosisaanpassing"
"Gabapentine Accord 100 mg, harde capsules","Omdat de nierfunctie bij oudere patiënten kan verminderen, hebben zij mogelijk een aangepaste dosis nodig (zie Tabel 2). Slaperigheid, perifeer oedeem en asthenie kunnen bij ouderen frequenter voorkomen.","Ouderen","Wel dosisaanpassing"
"Gabapentine Accord 100 mg, harde capsules","Aanpassing van de dosis wordt aanbevolen voor patiënten met een verminderde nierfunctie zoals vermeld in Tabel 2 en/of patiënten die hemodialyse ondergaan. Gabapentine 100 mg capsules kunnen worden gebruikt om de doseringsaanbevelingen voor patiënten met nierinsufficiëntie te volgen.","Nierinsufficiëntie","Wel dosisaanpassing"
"Gemfibrozil Auro 600 mg, filmomhulde tabletten","Als voor volwassenen.","Ouderen","Geen dosisaanpassing"
"Gemfibrozil Auro 600 mg, filmomhulde tabletten","Begin de behandeling bij patiënten met een lichte tot matige nierfunctiestoornis (Glomerulaire filtratiesnelheid respectievelijk 50-80 en 30-","Nierinsufficiëntie","Wel dosisaanpassing"
"Gemfibrozil Auro 600 mg, filmomhulde tabletten","Gemfibrozil dient niet gebruikt te worden door patiënten met een ernstige nierfunctiestoornis (zie rubriek 4.3).","Nierinsufficiëntie","Gecontra-indiceerd"
"Gemfibrozil Auro 600 mg, filmomhulde tabletten","Gemfibrozil is gecontra-indiceerd bij leverfunctiestoornissen (zie rubriek 4.3).","Leverinsufficiëntie","Gecontra-indiceerd"
"Amaryl 1 mg, tabletten","Glimepiride is gecontraïndiceerd in patiënten met de volgende condities:ernstige nier- of leverfunctiestoornissen. Bij ernstige nier- of leverfunctiestoornissen is
overschakeling op insuline aan te bevelen.","Leverinsufficiëntie","Gecontra-indiceerd"
"Haldol Decanoas 50 mg/ml, oplossing voor injectie","De invloed van nierinsufficiëntie op de farmacokinetiek van haloperidol is niet onderzocht. ","Nierinsufficiëntie","Niet onderzocht"
"Haldol Decanoas 50 mg/ml, oplossing voor injectie","Er wordt geen dosisaanpassing aanbevolen, maar voorzichtigheid is geboden bij de behandeling van patiënten met nierinsufficiëntie.","Nierinsufficiëntie","Geen dosisaanpassing"
"Haldol Decanoas 50 mg/ml, oplossing voor injectie","Echter, patiënten met ernstige nierinsufficiëntie kunnen een lagere startdosis nodig hebben, met daaropvolgend dosisaanpassingen met kleinere verhogingen en met grotere tussenpozen dan bij patiënten zonder nierinsufficiëntie (zie rubriek 5.2).","Nierinsufficiëntie","Wel dosisaanpassing"
"Haldol Decanoas 50 mg/ml, oplossing voor injectie","De invloed van leverinsufficiëntie op de farmacokinetiek van haloperidol is niet onderzocht.","Leverinsufficiëntie","Niet onderzocht"
"Haldol Decanoas 50 mg/ml, oplossing voor injectie","Aangezien haloperidol uitgebreid in de lever wordt gemetaboliseerd, wordt aanbevolen de startdosis te halveren en de dosis met kleinere stappen te verhogen en met langere tussenpozen aan te passen dan bij patiënten zonder leverinsufficiëntie (zie rubrieken 4.4 en 5.2).","Leverinsufficiëntie","Wel dosisaanpassing"
"Irbesartan Hydrochlorothiazide Zentiva 150 mg/12,5 mg tabletten","Vanwege het bestanddeel hydrochloorthiazide wordt Irbesartan Hydrochlorothiazide Zentiva niet aanbevolen bij patiënten met een ernstige nierfunctiestoornis (creatinineklaring < 30 ml/min). Bij deze patiënten wordt de voorkeur gegeven aan lisdiuretica boven thiazidediuretica.","Nierinsufficiëntie","Gecontra-indiceerd"
"Irbesartan Hydrochlorothiazide Zentiva 150 mg/12,5 mg tabletten","Er is geen dosisaanpassing nodig bij patiënten met een nierfunctievermindering bij wie de creatinineklaring ≥ 30 ml/min bedraagt (zie rubrieken 4.3 en 4.4).","Nierinsufficiëntie","Geen dosisaanpassing"
"Irbesartan Hydrochlorothiazide Zentiva 150 mg/12,5 mg tabletten","Verminderde leverfunctie Irbesartan Hydrochlorothiazide Zentiva is niet bestemd voor patiënten met een ernstig verminderde leverfunctie. Thiazidediuretica dienen terughoudend gebruikt te worden bij patiënten met een verminderde leverfunctie.","Leverinsufficiëntie","Gecontra-indiceerd"
"Irbesartan Hydrochlorothiazide Zentiva 150 mg/12,5 mg tabletten","Bij patiënten met een licht tot matig verminderde leverfunctie hoeft de dosering van Irbesartan Hydrochlorothiazide Zentiva niet te worden aangepast (zie rubriek 4.3).","Leverinsufficiëntie","Geen dosisaanpassing"
"Irbesartan Hydrochlorothiazide Zentiva 150 mg/12,5 mg tabletten","Bij ouderen hoeft de dosering van Irbesartan Hydrochlorothiazide Zentiva niet te worden aangepast.","Ouderen","Geen dosisaanpassing"
"Abstral 100 microgram, tabletten voor sublinguaal gebruik","Er is geen dosisaanpassing nodig voor patiënten met reeds bestaande milde leverinsufficiëntie, Child-Pugh Klasse A.","Leverinsufficiëntie","Geen dosisaanpassing"
"Abstral 100 microgram, tabletten voor sublinguaal gebruik","Er zijn geen gegevens over de klinische veiligheid en werkzaamheid van meervoudige doses abirateronacetaat, toegediend aan patiënten met matige of ernstige leverinsufficiëntie (Child-Pugh Klasse B of C).","Leverinsufficiëntie","Niet onderzocht"
"Abstral 100 microgram, tabletten voor sublinguaal gebruik","Een dosisaanpassing kan niet voorspeld worden. Het gebruik van Abirateron Fresenius Kabi moet zorgvuldig worden geëvalueerd bij patiënten met matige leverinsufficiëntie, bij wie het voordeel duidelijk moet opwegen tegen de mogelijke risico’s (zie de rubrieken 4.2 en 5.2).","Leverinsufficiëntie","Geen dosisaanpassing"
"Abstral 100 microgram, tabletten voor sublinguaal gebruik","Abirateron Fresenius Kabi mag niet worden gebruikt bij patiënten met ernstige leverinsufficiënte (zie de rubrieken 4.3, 4.4 en 5.2).","Leverinsufficiëntie","Gecontra-indiceerd"
"Abstral 100 microgram, tabletten voor sublinguaal gebruik","Bij patiënten met nierinsufficiëntie is geen dosisaanpassing noodzakelijk (zie rubriek 5.2). Er is echter geen klinische ervaring bij patiënten met prostaatkanker en ernstige nierinsufficiëntie. Bij deze patiënten is voorzichtigheid geboden (zie rubriek 4.4).","Nierinsufficiëntie","Geen dosisaanpassing"
"Abstral 100 microgram, tabletten voor sublinguaal gebruik","De dosistitratie moet bijzonder voorzichtig gebeuren en de patiënten moeten onder zorgvuldig toezicht staan voor wat betreft tekenen van fentanyltoxiciteit (zie rubriek 4.4).","Ouderen","Geen dosisaanpassing"
"Abstral 100 microgram, tabletten voor sublinguaal gebruik","Patiënten met nier- en leverfunctiestoornissen moeten onder zorgvuldig toezicht staan voor wat betreft tekenen van fentanyltoxiciteit tijdens de Abstral titratiefase (zie rubriek 4.4).","Leverinsufficiëntie","Geen dosisaanpassing"
"ABASAGLAR 100 E/ml, oplossing voor injectie in een patroon","Bij ouderen kan een progressieve verslechtering van de nierfunctie leiden tot een gestage vermindering van de insulinebehoefte.","Ouderen","Wel dosisaanpassing"
"ABASAGLAR 100 E/ml, oplossing voor injectie in een patroon","Bij patiënten met een gestoorde nierfunctie kan de behoefte aan insuline verminderd zijn als gevolg van het verminderde insulinemetabolisme.","Nierinsufficiëntie","Wel dosisaanpassing"
"ABASAGLAR 100 E/ml, oplossing voor injectie in een patroon","Bij patiënten met een gestoorde leverfunctie kan de behoefte aan insuline verminderd zijn als gevolg van het verminderde vermogen tot gluconeogenese en een verminderd insulinemetabolisme","Leverinsufficiëntie","Wel dosisaanpassing"
"Lantus 100 eenheden/ml oplossing voor injectie in een injectieflacon","Bij ouderen kan een progressieve verslechtering van de nierfunctie leiden tot een gestage vermindering van de insulinebehoefte","Ouderen","Wel dosisaanpassing"
"Lantus 100 eenheden/ml oplossing voor injectie in een injectieflacon","Bij patiënten met een gestoorde nierfunctie kan de behoefte aan insuline lager zijn als gevolg van het verminderd insulinemetabolisme","Nierinsufficiëntie","Wel dosisaanpassing"
"Lantus 100 eenheden/ml oplossing voor injectie in een injectieflacon","Bij patiënten met een ernstig gestoorde leverfunctie kan de behoefte aan insuline verminderd zijn als gevolg van het verminderde vermogen tot gluconeogenese en een verminderd insulinemetabolisme.","Leverinsufficiëntie","Wel dosisaanpassing"
"Truvelog Mix 30 100 eenheden/ml suspensie voor injectie in een patroon","Truvelog Mix 30 kan bij oudere patiënten gebruikt worden; er is echter beperkte ervaring met het gebruik van Truvelog Mix 30 in combinatie met orale bloedglucoseverlagende geneesmiddelen bij patiënten ouder dan 75 jaar. Bij oudere patiënten moet de bloedglucosespiegel vaker gecontroleerd worden en de dosis insuline aspart individueel aangepast worden.","Ouderen","Wel dosisaanpassing"
"Truvelog Mix 30 100 eenheden/ml suspensie voor injectie in een patroon","De insulinebehoefte van de patiënt kan afnemen door nieraandoeningen. Bij patiënten met nier- of leveraandoeningen moet de bloedglucosespiegel vaker gecontroleerd worden en de dosis insuline aspart individueel aangepast worden.","Nierinsufficiëntie","Wel dosisaanpassing"
"Truvelog Mix 30 100 eenheden/ml suspensie voor injectie in een patroon","De insulinebehoefte van de patiënt kan afnemen door leveraandoeningen. Bij patiënten met nier- of leveraandoeningen moet de bloedglucosespiegel vaker gecontroleerd worden en de dosis insuline aspart individueel aangepast worden.","Leverinsufficiëntie","Wel dosisaanpassing"
"Isosorbidedinitraat Aurobindo retard 20 mg, tabletten met gereguleerde afgifte","Er zijn geen specifieke doseerinstructies voor ouderen of patiënten met lever- of nierfunctiestoornissen.","Ouderen","Geen dosisaanpassing"
"Isosorbidedinitraat Aurobindo retard 20 mg, tabletten met gereguleerde afgifte","Er zijn geen specifieke doseerinstructies voor ouderen of patiënten met lever- of nierfunctiestoornissen.","Nierinsufficiëntie","Geen dosisaanpassing"
"Isosorbidedinitraat Aurobindo retard 20 mg, tabletten met gereguleerde afgifte","Er zijn geen specifieke doseerinstructies voor ouderen of patiënten met lever- of nierfunctiestoornissen.","Leverinsufficiëntie","Geen dosisaanpassing"
"Mono-Cedocard Retard 25, capsules met gereguleerde afgifte 25 mg","Er zijn geen specifieke doseerinstructies voor ouderen","Ouderen","Geen dosisaanpassing"
"Mono-Cedocard Retard 25, capsules met gereguleerde afgifte 25 mg","Er zijn geen specifieke doseerinstructies voor patiënten met lever- of nierinsufficiëntie.","Nierinsufficiëntie","Geen dosisaanpassing"
"Mono-Cedocard Retard 25, capsules met gereguleerde afgifte 25 mg","Er zijn geen specifieke doseerinstructies voor patiënten met lever- of nierinsufficiëntie.","Leverinsufficiëntie","Geen dosisaanpassing"
"Lambipol 25 mg, kauwtabletten/dispergeerbare tabletten","Er zijn geen doseringsaanpassingen nodig van het aanbevolen doseerschema. De farmacokinetiek van lamotrigine in deze leeftijdsgroep wijkt niet significant af van die van de niet-bejaarde volwassenen (zie rubriek 5.2).",,"Geen dosisaanpassing"
"Lambipol 25 mg, kauwtabletten/dispergeerbare tabletten","Lambipol moet met de nodige voorzichtigheid worden toegediend aan patiënten met een verminderde nierfunctie. Voor patiënten die in het eindstadium van nierfalen verkeren moet de startdosering lamotrigine worden afgestemd op de geneesmiddelen die gelijktijdig door de patiënt worden gebruikt. Gereduceerde onderhoudsdoseringen kunnen effectief zijn bij patiënten die significante functionele verminderde nierfunctie hebben (zie rubrieken 4.4 en 5.2).",,"Wel dosisaanpassing"
"Lambipol 25 mg, kauwtabletten/dispergeerbare tabletten","De start-, de titreer- en de onderhoudsdoseringen moeten normaal gesproken met ongeveer 50% worden verlaagd bij patiënten met matige (Child Pugh graad B) en met 75% bij patiënten met ernstige (Child Pugh graad C) leverinsufficiëntie. Het titreren van de dosering en de onderhoudsdosering moeten worden aangepast op geleide van de klinische respons (zie rubriek 5.2).",,"Wel dosisaanpassing"
"Lansoprazol Aurobindo 15 mg, maagsapresistente capsules","Het is niet nodig om de dosering aan te passen voor patiënten met een beperkte nierfunctie","Nierinsufficiëntie","Geen dosisaanpassing"
"Lansoprazol Aurobindo 15 mg, maagsapresistente capsules","Patiënten met een gemiddelde tot ernstige leveraandoening moeten onder regelmatig toezicht gesteld worden en er wordt een vermindering van 50% van de dagelijkse dosering aanbevolen (zie rubrieken 4.4 en 5.2).","Leverinsufficiëntie","Wel dosisaanpassing"
"Lansoprazol Aurobindo 15 mg, maagsapresistente capsules","Door een verminderde klaring van lansoprazol bij ouderen, kan het nodig zijn dat de dosering aangepast wordt op basis van de individuele vereisten. Een dagelijkse dosering van 30 mg mag niet overschreden worden bij ouderen, tenzij er dwingende klinische indicaties zijn.","Ouderen","Wel dosisaanpassing"
"Keppra 250 mg filmomhulde tabletten","Bij oudere patiënten met een verminderde nierfunctie wordt aanbevolen de dosis aan te passen (zie “Nierfunctiestoornis” hieronder).","Ouderen","Wel dosisaanpassing"
"Keppra 250 mg filmomhulde tabletten","De dagelijkse dosis moet individueel worden aangepast overeenkomstig de nierfunctie","Nierinsufficiëntie","Wel dosisaanpassing"
"Keppra 250 mg filmomhulde tabletten","Bij patiënten met een lichte tot matige leverfunctiestoornis hoeft de dosis niet te worden aangepast","Leverinsufficiëntie","Geen dosisaanpassing"
"Keppra 250 mg filmomhulde tabletten","Bij patiënten met een ernstige leverfunctiestoornis kan de creatinineklaring de mate van nierinsufficiëntie onderschatten. Daarom wordt aanbevolen bij een creatinineklaring < 60 ml/min/1,73 m2 de dagelijkse onderhoudsdosering met 50% te verminderen.","Leverinsufficiëntie","Wel dosisaanpassing"
"EUTHYROX 25/50/75/88/100/112/125/137/150/175/200 microgram, tabletten","Bij oudere patiënten, bij patiënten met coronaire hartaandoeningen en bij patiënten met ernstige of lang bestaande hypothyreoïdie is bijzondere voorzichtigheid vereist bij aanvang van de behandeling met schildklierhormonen. Dit houdt in dat een lage startdosis (bijvoorbeeld 12,5 µg/dag) moet worden gegeven, die langzaam verhoogd wordt met lange intervallen (bijvoorbeeld een geleidelijke toename met 12,5 µg elke 2 weken). De schildklierhormonen moeten regelmatig gecontroleerd worden. Een lagere dan de optimale dosering die volledige vervanging biedt, dient daarom te worden overwogen, met als gevolg een onvolledige correctie van de TSH-spiegel.","Ouderen","Wel dosisaanpassing"
"Lisinopril Accord 5 mg, tabletten","De dosering bij patiënten met nierfunctiestoornissen dient te worden gebaseerd op de creatinineklaring, zoals aangegeven in tabel 1.","Nierinsufficiëntie","Wel dosisaanpassing"
"Lisinopril Accord 5 mg, tabletten","In klinische studies is geen leeftijdgerelateerde verandering van de effectiviteit of het veiligheidsprofiel van het middel gevonden.","Ouderen","Geen dosisaanpassing"
"Lorazepam CF 1 mg, tabletten","Verlaag de aanvangsdosis voor oudere en verzwakte patiënten met ongeveer 50% en pas de dosering aan zoals nodig is en verdragen wordt (zie rubriek 4.4 en 4.8).","Ouderen","Wel dosisaanpassing"
"Lorazepam Prolepha 0,5 mg, tabletten","Gebruik door patiënten met ernstige leveraandoeningen is gecontra-indiceerd (zie rubriek 4.3).","Leverinsufficiëntie","Gecontra-indiceerd"
"Lorazepam Prolepha 0,5 mg, tabletten","Bij patiënten met milde tot matige leveraandoeningen zou een lagere dosis voldoende kunnen zijn. De aanvangsdosis moet de helft van de aanbevolen volwassenen dosis zijn. Deze patiënten dienen zorgvuldig op de klinische response en tolerantie gecontroleerd te worden en vervolgens moet de dosis bijgesteld worden (zie rubriek 4.4).","Leverinsufficiëntie","Wel dosisaanpassing"
"Lorazepam Prolepha 0,5 mg, tabletten","Bij patiënten met ernstige tot milde nieraandoeningen zou een lagere dosis voldoende kunnen zijn. De aanvangsdosis dient de helft van de aanbevolen volwassenen dosis zijn. Deze patiënten moeten zorgvuldig op de klinische response en tolerantie gecontroleerd worden en vervolgens moet de dosis bijgesteld worden (zie rubriek 4.4).","Nierinsufficiëntie","Wel dosisaanpassing"
"Lorazepam Prolepha 0,5 mg, tabletten","Verlaag de aanvangsdosis voor oudere en verzwakte patiënten met ongeveer 50 % en pas de dosering aan zoals nodig is en verdragen wordt (zie rubriek 4.4 Bijzondere waarschuwingen en voorzorgen bij gebruik).","Ouderen","Wel dosisaanpassing"
"Hyzaar 50 mg/12,5 mg filmomhulde tabletten","Losartan/HCTZ is gecontra-indiceerd bij patiënten met een ernstige leverfunctiestoornis (zie rubriek 4.3).","Leverinsufficiëntie","Gecontra-indiceerd"
"Hyzaar 50 mg/12,5 mg filmomhulde tabletten","Voor ouderen hoeft de dosering meestal niet te worden aangepast.","Ouderen","Geen dosisaanpassing"
"Hyzaar 50 mg/12,5 mg filmomhulde tabletten","Bij patiënten met een matige nierfunctiestoornis (d.w.z. creatinineklaring 30-50 ml/min) hoeft de aanvangsdosis niet te worden aangepast.","Nierinsufficiëntie","Geen dosisaanpassing"
"Hyzaar 50 mg/12,5 mg filmomhulde tabletten","Tabletten losartan/hydrochloorthiazide worden niet aanbevolen voor hemodialysepatiënten","Nierinsufficiëntie","Gecontra-indiceerd"
"Hyzaar 50 mg/12,5 mg filmomhulde tabletten","Tabletten losartan/HCTZ mogen niet worden gebruikt bij patiënten met een ernstige nierfunctiestoornis (d.w.z. creatinineklaring < 30 ml/min) (zie rubriek 4.3).","Nierinsufficiëntie","Gecontra-indiceerd"
"Losartankalium Xiromed 25 mg, filmomhulde tabletten","Voor patiënten met een voorgeschiedenis van een leverfunctiestoornis moet een lagere dosering worden overwogen.","Leverinsufficiëntie","Wel dosisaanpassing"
"Losartankalium Xiromed 25 mg, filmomhulde tabletten","Er is geen therapeutische ervaring bij patiënten met een ernstige leverfunctiestoornis.","Leverinsufficiëntie","Niet onderzocht"
"Losartankalium Xiromed 25 mg, filmomhulde tabletten","Daarom is losartan gecontra-indiceerd bij patiënten met een ernstige leverfunctiestoornis (zie rubrieken 4.3 en 4.4).","Leverinsufficiëntie","Gecontra-indiceerd"
"Losartankalium Xiromed 25 mg, filmomhulde tabletten","Bij patiënten met een nierfunctiestoornis en bij hemodialysepatiënten hoeft de aanvangsdosis niet te worden aangepast.","Nierinsufficiëntie","Geen dosisaanpassing"
"Losartankalium Xiromed 25 mg, filmomhulde tabletten","Alhoewel bij patiënten ouder dan 75 jaar moet worden overwogen de behandeling met 25 mg in te stellen, is dosisaanpassing voor ouderen meestal niet nodig.","Ouderen","Geen dosisaanpassing"
"Cholib 145 mg/20 mg filmomhulde tabletten","Aanpassing van de dosis is niet nodig","Ouderen","Geen dosisaanpassing"
"Cholib 145 mg/20 mg filmomhulde tabletten","bij verminderde nierfunctie met een geschatte glomerulaire filtratiesnelheid < 60 ml/min/1,73 m2 waarbij Cholib gecontra-indiceerd is (zie rubriek 4.3).","Nierinsufficiëntie","Geen dosisaanpassing"
"Cholib 145 mg/20 mg filmomhulde tabletten","Cholib is gecontra-indiceerd bij patiënten met matige tot ernstige nierinsufficiëntie bij wie de geschatte glomerulaire filtratiesnelheid < 60 ml/min/1,73 m2 is (zie rubriek 4.3).","Nierinsufficiëntie","Gecontra-indiceerd"
"Cholib 145 mg/20 mg filmomhulde tabletten","Cholib dient met voorzichtigheid te worden gebruikt bij patiënten met milde nierinsufficiëntie bij wie de geschatte glomerulaire filtratiesnelheid 60 tot 89 ml/min/1,73 m2 bedraagt (zie rubriek 4.3).","Nierinsufficiëntie","Geen dosisaanpassing"
"Cholib 145 mg/20 mg filmomhulde tabletten","Cholib is niet onderzocht bij patiënten met verminderde leverfunctie","Leverinsufficiëntie","Niet onderzocht"
